Server_Namespaces_http___opcfoundation_org_UA_BNM__StaticStringNodeIdPattern,6053,Variable
IeeeBaseTsnStreamType_StreamId,6054,Variable
IeeeBaseTsnStreamType_StreamName,6055,Variable
IeeeBaseTsnStreamType_State,6056,Variable
IeeeBaseTsnStreamType_AccumulatedLatency,6057,Variable
IeeeBaseTsnStreamType_SrClassId,6058,Variable
IeeeBaseTsnTrafficSpecificationType_MaxIntervalFrames,6059,Variable
IeeeBaseTsnTrafficSpecificationType_MaxFrameSize,6060,Variable
IeeeBaseTsnTrafficSpecificationType_Interval,6061,Variable
IeeeTsnMacAddressType_SourceAddress,6062,Variable
IeeeTsnMacAddressType_DestinationAddress,6063,Variable
IeeeTsnVlanTagType_VlanId,6064,Variable
IeeeTsnVlanTagType_PriorityCodePoint,6065,Variable
IeeeTsnInterfaceConfigurationType_MacAddress,6066,Variable
IeeeTsnInterfaceConfigurationType_InterfaceName,6067,Variable
IetfBaseNetworkInterfaceType_PhysAddress,6068,Variable
IetfBaseNetworkInterfaceType_Speed,6069,Variable
IetfBaseNetworkInterfaceType_Speed_EngineeringUnits,6070,Variable
IIeeeTsnMacAddressType_SourceAddress,6071,Variable
IeeeTsnInterfaceConfigurationTalkerType_TimeAwareOffset,6072,Variable
IeeeTsnInterfaceConfigurationListenerType_ReceiveOffset,6073,Variable
IVlanIdType_VlanId,6076,Variable
IeeeBaseTsnStatusStreamType_TalkerStatus,6087,Variable
IeeeBaseTsnStatusStreamType_ListenerStatus,6088,Variable
IeeeBaseTsnStatusStreamType_FailureCode,6089,Variable
IeeeBaseTsnStatusStreamType_FailureSystemIdentifier,6090,Variable
BnmRequestType_UpdateStreamConfiguration,7001,Method
BnmRequestType_UpdateStreamStatus,7003,Method
